CONTENT,PRIORITY,DATE,REPEAT,STAR,FOLDER
Amazon Compensation Questions,4,2022-08-21 ,,,AWS
Analytics Cert Studying @star,1,2022-05-24 ,,Yes,AWS
KJEM Sleepover / Elizabeth AWS / StitchFix Conversation,4,2022-05-28 ,,,AWS
Annual Physical Exam [COLON CANCER SCREENING],1,2022-12-05 every! year,every! year,,Action Items
Catch Up on Gmail @star,2,2022-05-30 every! 3 days,every! 3 days,Yes,Action Items
Clipper on Phoebe's Phone @star,1,2022-11-19 ,,Yes,Action Items
Establish SI '89 Influencer Matrix,4, ,,,Action Items
ExtrasForAmazon,4, ,,,Action Items
Eye Checkup Appointment,4,2022-10-27 every! year,every! year,,Action Items
Face Care,4, ,,,Action Items
Home Maintenance Checklist [LIAM!],4,2022-06-04 ,,,Action Items
Jerry's Kids Names,4,2022-05-28 ,,,Action Items
LastPass Security Check (Weak Passwords),2, ,,,Action Items
Letter to Chris Garden,4,2022-06-05 ,,,Action Items
Protein Rich Snacks,4, ,,,Action Items
Repair Car Body Scrapes?,4, ,,,Action Items
Resmed 3G Shutdown Issue,4,2022-08-06 ,,,Action Items
Review Subaru Car Manual,4,2022-08-27 ,,,Action Items
SI Class '89 Mobilization,4,2022-06-11 ,,,Action Items
Scan Old Photos,2, ,,,Action Items
Subaru Maintenance Appointment: 6/17 or before,4,2022-06-04 ,,,Action Items
Subaru Safety Recall,4,2022-06-04 ,,,Action Items
Wear Green for St. Patty's,4,2023-03-17 every! year,every! year,,Action Items
Whole30,4, ,,,Action Items
Wildfire Season Maneuvers,4,2022-06-18 ,,,Action Items
Ankle / Achilles Tendonitis Recovery Regimen,2, ,,,Aspirations
Anxiety | Depression | Low Self-Esteem [BREATHING | POSITIVE THINKING],4, ,,,Aspirations
Behavioral Adjustments [EAT THAT FROG],2, ,,,Aspirations
Breathing (Diaphram) / Breath Work,4, ,,,Aspirations
Computer Posture (Neck / Back Issues),3, ,,,Aspirations
Count Blessings,2, ,,,Aspirations
Count Calories,4, ,,,Aspirations
Family Time,4, ,,,Aspirations
Father-Daughter Relationship,2, ,,,Aspirations
Food Strategy,4, ,,,Aspirations
Growth Mindset,2, ,,,Aspirations
House Work,4, ,,,Aspirations
Intermittent Fasting,4, ,,,Aspirations
Key Habits / Goals...,4, ,,,Aspirations
Life Scorecard,4, ,,,Aspirations
Macro Life Goals Orientation,2, ,,,Aspirations
Mindset Shift Reminders / Themes [CTFAR],2, ,,,Aspirations
Re-Energization Strategy,1, ,,,Aspirations
Sleep Optimization,1, ,,,Aspirations
Trip Guide,4, ,,,Aspirations
Whole 30,1, ,,,Aspirations
Alterations to Go,4,2022-05-30 ,,,Calls
Back Pain Therapist / Doctor (Joey),1, ,,,Calls
Barsi,4,2022-07-30 every! 3 months,every! 3 months,,Calls
Blumer,3,2022-10-22 every! 6 months,every! 6 months,,Calls
Dad,4,2022-06-05 every! 2 weeks,every! 2 weeks,,Calls
Ian,4,2022-06-21 every! month,every! month,,Calls
Jacobsen,4,2022-05-28 ,,,Calls
Lance,4,2022-05-29 ,,,Calls
Letter to Chris Garden,4, ,,,Calls
Mom,4,2022-05-29 every! 2 weeks,every! 2 weeks,,Calls
Prune Trees Above BO,3,2022-06-03 every! year,every! year,,Calls
Ricardo,4,2022-05-30 every! month,every! month,,Calls
Winters [EAST COAST],4,2022-06-04 every! 3 months,every! 3 months,,Calls
Developer Learning Tools,4, ,,,Career
How to be an Independent Consultant,4, ,,,Career
Improv,4, ,,,Career
Independent Contracting / Consulting Options,4,2022-07-02 ,,,Career
McKinsey Future of Work Report,2, ,,,Career
Networking Habit,3, ,,,Career
Professional Forums,4, ,,,Career
Python / Programming,4, ,,,Career
Support Open Source Project / GitHub Account,4, ,,,Career
TechCXO,4, ,,,Career
Update LinkedIn Profile,4,2022-06-04 ,,,Career
Ant Poison / Traps in BO Before Rain,4,2022-10-01 every! year,every! year,,Chores
Back Office Filing (Particularly House Stuff in Fireproof Safe),3, ,,,Chores
Calibrate Front Sprinkler Repair / Nozzles,4, ,,,Chores
Charge Car Jumper Batteries,4,2022-11-22 every! 6 months,every! 6 months,,Chores
Charge Mega Battery,4,2022-05-31 every! 30 days,every! 30 days,,Chores
Check Smoke Detectors,2,2022-06-27 every! month,every! month,,Chores
Clean Kitty Water / Replace Filter,4,2022-06-02 every! month,every! month,,Chores
Laundry Candidates,4,2022-06-03 every! friday,every! friday,,Chores
Lawn Aeration [Early Spring / Late Fall],4,2022-10-15 every! 6 months,every! 6 months,,Chores
Legs for Wood Outdoor Bar [STAIN],1,2022-06-04 ,,,Chores
Mouthguard Deep Cleaning,4,2022-06-11 ,,,Chores
Organize Drawers,4, ,,,Chores
Pack for Napa... @star,1,2022-05-29 ,,Yes,Chores
Phoebe Air Filter,4,2022-06-11 every! year,every! year,,Chores
Quinoa @star,1,2022-06-11 every! saturday,every! saturday,Yes,Chores
Replace BO Pix of My Girls,4,2022-06-04 ,,,Chores
Replace CPAP Air Filter,4,2022-06-12 every! 3 weeks,every! 3 weeks,,Chores
Replace House Air Filters,4,2022-07-27 every! 2 months,every! 2 months,,Chores
Replace Smoke Detector Batteries,4,2023-02-19 every! year,every! year,,Chores
Reposition Drip Irrigation,4,2022-07-25 every! 3 months,every! 3 months,,Chores
Roof Rack,4,2022-06-05 ,,,Chores
Rotate Emergency Water,1,2022-08-19 every! 6 months,every! 6 months,,Chores
Routine CPAP Cleaning @star,1,2022-05-30 every! 2 weeks,every! 2 weeks,Yes,Chores
Salad Prep [CLEAN TUPPERWARE] @star,4,2022-05-30 every! saturday,every! saturday,Yes,Chores
Seasonal Ant Traps,4,2022-10-15 every! year,every! year,,Chores
Sew Champion Sweatpants Pocket,1, ,,,Chores
Test Nasal Pillows + Aerophagia,4,2022-06-18 ,,,Chores
Vacuum / Mop / Wipe BO @star,4,2022-06-14 every! month,every! month,Yes,Chores
Generator from Dad,4, ,,,Errands
Groceries,4,2022-05-29 every! wednesday,every! wednesday,,Errands
Hand Wipes for Car,4, ,,,Errands
Random Acts of Flowers,4,2022-06-05 every! 4 weeks,every! 4 weeks,,Errands
(P)SAT Prep / College Coach for Kids,4,2022-06-18 ,,,Family
Annual Vacation Planning...,3,2022-06-03 ,,,Family
Avah / Phoebe Coaching,4,2022-05-28 ,,,Family
Avah Article: How to Pick a Career (That Actually Fits You),4,2022-06-04 ,,,Family
Avah B-Day Interview [CAPTURE] @star,1,2022-08-02 every! year,every! year,Yes,Family
Avah College Counseling [SUMMER / ACTIVITIES],4,2022-06-18 ,,,Family
Avah Grades (Incentives),1,2022-05-30 ,,,Family
Avah Learning Assessment Results [ADHD Testing] @star,1,2022-06-11 ,,Yes,Family
Avah Mental Health [WORKBOOK] @star,1,2022-05-30 ,,Yes,Family
"Avah: YouScience, etc. @star",1,2022-05-28 ,,Yes,Family
Catio Project,2, ,,,Family
DIY / Maker Kids,4, ,,,Family
Date w/ Pam,1,2022-05-30 ,,,Family
Draw with Phoebe,4, ,,,Family
Emergency / Disaster Preparedness...,3,2022-06-11 ,,,Family
Family Meal Ideas @star,4,2022-06-04 ,,Yes,Family
Hereditary Hemochromatosis (hfe‐related),4,2022-06-19 ,,,Family
Hobby / Interest for Pam and I,4, ,,,Family
Indoor Skydiving,4,2022-06-04 ,,,Family
